出現形,基幹表現,部位,方言地方,標準病名,ICD-10,エビデンス
きつぎゃく,,,-1,"横隔膜痙攣症,しゃっくり",R066,CS
しゃっくり,,,-1,"横隔膜痙攣症,しゃっくり",R066,CS
ひゃっくり,,,-1,"横隔膜痙攣症,しゃっくり",R066,CS
息継ぎが逆,,,-1,"横隔膜痙攣症,しゃっくり",R066,CS
おうはんふしゅ,-1,-1,-1,黄斑部浮腫,H358,AEX
おうはんぶふしゅ,-1,-1,-1,黄斑部浮腫,H358,AEX
黄斑浮腫,-1,-1,-1,黄斑部浮腫,H358,AEX
黄斑部浮腫,-1,-1,-1,黄斑部浮腫,H358,AEX
あざ,,,-1,黄疸,R17,CS
おうせん,,,-1,黄疸,R17,CS
おうせんいじょう,,,-1,黄疸,R17,CS
かんせん,,,-1,黄疸,R17,CS
チアノーゼ,,,-1,黄疸,R17,CS
なんか顔とか黄色いで,,,-1,黄疸,R17,CS
はだがきいろくなる,,,-1,黄疸,R17,CS
黄いろくみえる,,,-1,黄疸,R17,CS
黄ばむ,,,-1,黄疸,R17,CS
黄ばむこと,,,-1,黄疸,R17,CS
黄色,,,-1,黄疸,R17,CS
黄色い,,,-1,黄疸,R17,CS
黄色い跡,,,-1,黄疸,R17,CS
黄色い肌,,,-1,黄疸,R17,CS
黄色い斑点,,,-1,黄疸,R17,CS
黄色くなる,,,-1,黄疸,R17,CS
黄色く見える,,,-1,黄疸,R17,CS
黄色く染まる,,,-1,黄疸,R17,CS
黄色斑点,,,-1,黄疸,R17,CS
肝臓病,,,-1,黄疸,R17,CS
顔が黄色くなっている,,,-1,黄疸,R17,CS
顔色が黄色い,,,-1,黄疸,R17,CS
湿疹,,,-1,黄疸,R17,CS
色素変色,,,-1,黄疸,R17,CS
身体が黄色になる,,,-1,黄疸,R17,CS
胆嚢疾患,,,-1,黄疸,R17,CS
胆嚢障害,,,-1,黄疸,R17,CS
肌が黄色い,,,-1,黄疸,R17,CS
肌が黄色くなる,,,-1,黄疸,R17,CS
肌が黄色みをおびる,,,-1,黄疸,R17,CS
皮膚が黄ばむ,,,-1,黄疸,R17,CS
皮膚が黄色い,,,-1,黄疸,R17,CS
皮膚が黄色くなる,,,-1,黄疸,R17,CS
皮膚が黄色く変化する病気,,,-1,黄疸,R17,CS
皮膚が黄色っぽい状態,,,-1,黄疸,R17,CS
皮膚が黄色っぽくなる,,,-1,黄疸,R17,CS
皮膚が黄色なる,,,-1,黄疸,R17,CS
皮膚が黄色になる症状,,,-1,黄疸,R17,CS
皮膚が荒れる,,,-1,黄疸,R17,CS
皮膚の黄ばみ,,,-1,黄疸,R17,CS
皮膚変色,,,-1,黄疸,R17,CS
変色,,,-1,黄疸,R17,CS
目が黄色い,,,-1,黄疸,R17,CS
目や体が黄色い,,,-1,黄疸,R17,CS
あついた,,,-1,温痛覚過敏,R203,CS
あつい痛い,,,-1,温痛覚過敏,R203,CS
おんつう,,,-1,温痛覚過敏,R203,CS
温かさを感じない,,,-1,温痛覚過敏,R203,CS
温まると痛い,,,-1,温痛覚過敏,R203,CS
温めると痛い,,,-1,温痛覚過敏,R203,CS
温めると痛むこと,,,-1,温痛覚過敏,R203,CS
温痛覚,,,-1,温痛覚過敏,R203,CS
温痛覚異常,,,-1,温痛覚過敏,R203,CS
温度と痛み,,,-1,温痛覚過敏,R203,CS
温度や痛みの感じ方がおかしい,,,-1,温痛覚過敏,R203,CS
温度を感じない,,,-1,温痛覚過敏,R203,CS
暖痛感,,,-1,温痛覚過敏,R203,CS
知覚過敏,,,-1,温痛覚過敏,R203,CS
痛覚障害,,,-1,温痛覚過敏,R203,CS
熱い痛いがわからなくなる,,,-1,温痛覚過敏,R203,CS
熱い痛み,,,-1,温痛覚過敏,R203,CS
熱さや痛みの感覚が鈍い,,,-1,温痛覚過敏,R203,CS
麻痺,,,-1,温痛覚過敏,R203,CS
味覚障害,,,-1,温痛覚過敏,R203,CS
無痛症,,,-1,温痛覚過敏,R203,CS
顎がポツポツ,ポツポツ,顎,,下顎部疣贅,B07,Web
下肢がしびれる,-1,下肢,-1,下肢しびれ,R208,AEX
下肢が痺れる,-1,下肢,-1,下肢しびれ,R208,AEX
下肢のしびれ,-1,下肢,-1,下肢しびれ,R208,AEX
下肢の痺れ,-1,下肢,-1,下肢しびれ,R208,AEX
脚がしびれる,-1,脚,-1,下肢しびれ,R208,AEX
脚が痺れる,-1,脚,-1,下肢しびれ,R208,AEX
脚のしびれ,-1,脚,-1,下肢しびれ,R208,AEX
脚の痺れ,-1,脚,-1,下肢しびれ,R208,AEX
足がしびれる,-1,足,-1,下肢しびれ,R208,AEX
足がジンジンする,ジンジン,足,-1,下肢しびれ,R208,Web
足が痺れる,-1,足,-1,下肢しびれ,R208,AEX
足のしびれ,-1,足,-1,下肢しびれ,R208,AEX
足の痺れ,-1,足,-1,下肢しびれ,R208,AEX
右足の関節痛,-1,右足,-1,下肢関節痛,M2559,AEX
下肢の関節痛,-1,下肢,-1,下肢関節痛,M2559,AEX
下腿の関節痛,-1,下肢,-1,下肢関節痛,M2559,AEX
左足の関節痛,-1,左足,-1,下肢関節痛,M2559,AEX
足の関節痛,-1,足,-1,下肢関節痛,M2559,AEX
しゅちゅう,,,-1,下肢腫脹,R224,CS
ひだりあしがはれた,,,-1,下肢腫脹,R224,CS
右足が腫れている,,,-1,下肢腫脹,R224,CS
下肢動脈瘤,,,-1,下肢腫脹,R224,CS
左の脚のむくみ,,,-1,下肢腫脹,R224,CS
左の腫れ,,,-1,下肢腫脹,R224,CS
左の足のはれ,,,-1,下肢腫脹,R224,CS
左足が腫れる,,,-1,下肢腫脹,R224,CS
左足の腫れ,,,-1,下肢腫脹,R224,CS
左足腫れ,,,-1,下肢腫脹,R224,CS
下肢のしんけいつう,-1,下肢,-1,下肢神経痛,M7929,AEX
下肢の神経痛,-1,下肢,-1,下肢神経痛,M7929,AEX
脚のしんけいつう,-1,脚,-1,下肢神経痛,M7929,AEX
脚の神経痛,-1,脚,-1,下肢神経痛,M7929,AEX
足のしんけいつう,-1,足,-1,下肢神経痛,M7929,AEX
足の神経痛,-1,足,-1,下肢神経痛,M7929,AEX
下肢に静脈瘤がある,-1,下肢,-1,下肢静脈瘤,I839,AEX
下腿に静脈瘤がある,-1,下腿,-1,下肢静脈瘤,I839,AEX
足に静脈瘤がある,-1,足,-1,下肢静脈瘤,I839,AEX
あしうずい,,,-1,下肢脱力感,R298,CS
あしがぐったり,,,-1,下肢脱力感,R298,CS
だつりょく,,,-1,下肢脱力感,R298,CS
だつりょくかん,,,-1,下肢脱力感,R298,CS
ちからが出ない,,,-1,下肢脱力感,R298,CS
下肢がぬける感じ,-1,下肢,-1,下肢脱力感,R298,AEX
下肢にしびれや痛みあるいは脱力感が現れること,,,-1,下肢脱力感,R298,CS
下肢に力が入らない,,,-1,下肢脱力感,R298,CS
下肢のだるさ,-1,下肢,-1,下肢脱力感,R298,AEX
下肢の重さ,-1,下肢,-1,下肢脱力感,R298,AEX
下肢の脱力,-1,下肢,-1,下肢脱力感,R298,AEX
下肢倦怠感,,,-1,下肢脱力感,R298,CS
下肢力が入らない,,,-1,下肢脱力感,R298,CS
下腿がぬける感じ,-1,下腿,-1,下肢脱力感,R298,AEX
下腿のだるさ,-1,下腿,-1,下肢脱力感,R298,AEX
下腿の重さ,-1,下腿,-1,下肢脱力感,R298,AEX
下腿の脱力,-1,下腿,-1,下肢脱力感,R298,AEX
下半身がだるい,,,-1,下肢脱力感,R298,CS
下半身が動きづらい,,,-1,下肢脱力感,R298,CS
下半身に力が入らない,,,-1,下肢脱力感,R298,CS
下半身のだるさ,,,-1,下肢脱力感,R298,CS
下半身の力が入らない,,,-1,下肢脱力感,R298,CS
下半身脱力感,,,-1,下肢脱力感,R298,CS
脚がだるい,,,-1,下肢脱力感,R298,CS
脚に力が入らない,,,-1,下肢脱力感,R298,CS
脚脱力,,,-1,下肢脱力感,R298,CS
筋弛緩,,,-1,下肢脱力感,R298,CS
全身がぐったり,,,-1,下肢脱力感,R298,CS
足がだるい,,,-1,下肢脱力感,R298,CS
足がぬける感じ,-1,足,-1,下肢脱力感,R298,AEX
足に力が入らないこと,,,-1,下肢脱力感,R298,CS
足に力が入らない感じ,,,-1,下肢脱力感,R298,CS
足に力が入りづらい,,,-1,下肢脱力感,R298,CS
足のしびれだるさ,,,-1,下肢脱力感,R298,CS
足のだるさ,-1,足,-1,下肢脱力感,R298,AEX
足の重さ,-1,足,-1,下肢脱力感,R298,AEX
足の脱力,-1,足,-1,下肢脱力感,R298,AEX
足の脱力感,,,-1,下肢脱力感,R298,CS
足の力が入らない,,,-1,下肢脱力感,R298,CS
足を脱力する,,,-1,下肢脱力感,R298,CS
膝がガクガクする,ガクガク,膝,,下肢脱力感,R298,Web
膝がガクッとなる,ガクッ,膝,,下肢脱力感,R298,Web
膝がダラダラ,ダラダラ,膝,,下肢脱力感,R298,Web
歩行困難,,,-1,下肢脱力感,R298,CS
右足が痛い,-1,右足,-1,下肢痛,M7966,AEX
右足が痛む,-1,右足,-1,下肢痛,M7966,AEX
右足の痛み,-1,右足,-1,下肢痛,M7966,AEX
右足痛,-1,右足,-1,下肢痛,M7966,AEX
下肢が痛い,-1,下肢,-1,下肢痛,M7966,AEX
下肢が痛む,-1,下肢,-1,下肢痛,M7966,AEX
下肢の痛み,-1,下肢,-1,下肢痛,M7966,AEX
下肢痛,-1,下肢,-1,下肢痛,M7966,AEX
左足が痛い,-1,左足,-1,下肢痛,M7966,AEX
左足が痛む,-1,左足,-1,下肢痛,M7966,AEX
左足の痛み,-1,左足,-1,下肢痛,M7966,AEX
左足痛,-1,左足,-1,下肢痛,M7966,AEX
足がガンガンする,ガンガン,足,-1,下肢痛,M7969,Web
足が痛い,-1,足,-1,下肢痛,M7966,AEX
足が痛む,-1,足,-1,下肢痛,M7966,AEX
足の痛み,-1,足,-1,下肢痛,M7966,AEX
足痛,-1,足,-1,下肢痛,M7966,AEX
脛がシクシク,シクシク,脛,,下肢痛,M7969,Web
かしむくみ,,,-1,下肢浮腫,R600,CS
下に出るできもの,,,-1,下肢浮腫,R600,CS
下肢の膨張,,,-1,下肢浮腫,R600,CS
下肢浮腫,,,-1,下肢浮腫,R600,CS
下肢瘤,,,-1,下肢浮腫,R600,CS
下半身がむくむ,,,-1,下肢浮腫,R600,CS
下半身のむくみ,,,-1,下肢浮腫,R600,CS
化膿,,,-1,下肢浮腫,R600,CS
脚がパンパン,パンパン,脚　,,下肢浮腫,R600,Web
脚が腫れる,,,-1,下肢浮腫,R600,CS
脚のむくみ,,,-1,下肢浮腫,R600,CS
脚部しびれ,,,-1,下肢浮腫,R600,CS
左右の足のむくみ,,,-1,下肢浮腫,R600,CS
静脈血栓塞栓症,,,-1,下肢浮腫,R600,CS
足あざ,,,-1,下肢浮腫,R600,CS
足がパンパン,パンパン,足,-1,下肢浮腫,R600,Web
足がむくんだ,,,-1,下肢浮腫,R600,CS
足がむくんでいる,,,-1,下肢浮腫,R600,CS
足が腫れている,,,-1,下肢浮腫,R600,CS
足の腫れ,,,-1,下肢浮腫,R600,CS
足の浮腫,,,-1,下肢浮腫,R600,CS
両下肢むくみ,,,-1,下肢浮腫,R600,CS
両下肢浮腫,,,-1,下肢浮腫,R600,CS
両脚のむくみ,,,-1,下肢浮腫,R600,CS
両脚部むくみ,,,-1,下肢浮腫,R600,CS
両足が腫れている,,,-1,下肢浮腫,R600,CS
両足が腫れる,,,-1,下肢浮腫,R600,CS
両足全体がむくんでいる,,,-1,下肢浮腫,R600,CS
両方の下肢の膨張,,,-1,下肢浮腫,R600,CS
足が腫れて,-1,足,-1,"下肢浮腫,下腿浮腫",R600,AEX
足が浮腫む,-1,足,-1,"下肢浮腫,下腿浮腫",R600,AEX
足のエデーマ,-1,足,-1,"下肢浮腫,下腿浮腫",R600,AEX
足のむくみ,-1,足,-1,"下肢浮腫,下腿浮腫",R600,AEX
足の浮腫,-1,足,-1,"下肢浮腫,下腿浮腫",R600,AEX
下肢が冷える,-1,下肢,-1,下肢冷感,R208,AEX
下肢が冷たい,-1,下肢,-1,下肢冷感,R208,AEX
下肢が冷たい,-1,下肢,-1,下肢冷感,R208,AEX
下肢のひえ,-1,下肢,-1,下肢冷感,R208,AEX
下肢の冷感,-1,下肢,-1,下肢冷感,R208,AEX
脚が冷える,-1,脚,-1,下肢冷感,R208,AEX
脚が冷たい,-1,脚,-1,下肢冷感,R208,AEX
脚が冷たい,-1,脚,-1,下肢冷感,R208,AEX
脚のひえ,-1,脚,-1,下肢冷感,R208,AEX
脚の冷感,-1,脚,-1,下肢冷感,R208,AEX
足が冷える,-1,足,-1,下肢冷感,R208,AEX
足が冷たい,-1,足,-1,下肢冷感,R208,AEX
足が冷たい,-1,足,-1,下肢冷感,R208,AEX
足のひえ,-1,足,-1,下肢冷感,R208,AEX
足の冷感,-1,足,-1,下肢冷感,R208,AEX
ひだり,,,-1,下腿腫脹,R224,CS
下腿 に初発 した悪性 リンパ腫,,,-1,下腿腫脹,R224,CS
五十肩,,,-1,下腿腫脹,R224,CS
左の腿がはれる,,,-1,下腿腫脹,R224,CS
左下の腫物,,,-1,下腿腫脹,R224,CS
左下腿腫れ,,,-1,下腿腫脹,R224,CS
左脚の腫れ,,,-1,下腿腫脹,R224,CS
左側の足の腫れ,,,-1,下腿腫脹,R224,CS
片側性下肢腫脹,,,-1,下腿腫脹,R224,CS
脚がガクガクする,ガクガク,脚,,下腿脱力,R298,Web
足がガクガクする,ガクガク,足,,下腿脱力,R298,Web
あしがむくんでる,,,-1,下腿浮腫,R600,CS
ぞう,,,-1,下腿浮腫,R600,CS
なにかがある,,,-1,下腿浮腫,R600,CS
ふくらはぎがむくむ,,,-1,下腿浮腫,R600,CS
ふくらはぎのむくみ,,,-1,下腿浮腫,R600,CS
ももがむくむ,,,-1,下腿浮腫,R600,CS
もものしゅよう,,,-1,下腿浮腫,R600,CS
りょうももがはれた,,,-1,下腿浮腫,R600,CS
右足の腿の部分が腫れている,,,-1,下腿浮腫,R600,CS
下肢のむくみ,,,-1,下腿浮腫,R600,CS
下肢の腫れ,,,-1,下腿浮腫,R600,CS
下肢の水膨れ,,,-1,下腿浮腫,R600,CS
下足にしこり,,,-1,下腿浮腫,R600,CS
下半身デブ,,,-1,下腿浮腫,R600,CS
下半身の浮腫,,,-1,下腿浮腫,R600,CS
脚がむくむ,,,-1,下腿浮腫,R600,CS
脚が膨張,,,-1,下腿浮腫,R600,CS
脚のできもの,,,-1,下腿浮腫,R600,CS
左の足の下部の皮下組織に組織間液がたまること,,,-1,下腿浮腫,R600,CS
左ももがむくんでいる,,,-1,下腿浮腫,R600,CS
左右下腿むくみ,,,-1,下腿浮腫,R600,CS
左下脚むくみ,,,-1,下腿浮腫,R600,CS
左脚のむくみ,,,-1,下腿浮腫,R600,CS
左脚の下の方がむくんでいる,,,-1,下腿浮腫,R600,CS
左足がむくむ,,,-1,下腿浮腫,R600,CS
左足がむくむ症状,,,-1,下腿浮腫,R600,CS
左足のできもの,,,-1,下腿浮腫,R600,CS
左足のむくみ,,,-1,下腿浮腫,R600,CS
左膝下のむくみ,,,-1,下腿浮腫,R600,CS
足がむくむこと,,,-1,下腿浮腫,R600,CS
足が仮死,,,-1,下腿浮腫,R600,CS
足のむくみ,,,-1,下腿浮腫,R600,CS
足のももの内側が腫れている,,,-1,下腿浮腫,R600,CS
足の血管腫,,,-1,下腿浮腫,R600,CS
足の浮腫み,,,-1,下腿浮腫,R600,CS
足の両側が腫れている,,,-1,下腿浮腫,R600,CS
太ももがむくんでる,,,-1,下腿浮腫,R600,CS
太腿のむくみ,,,-1,下腿浮腫,R600,CS
腿がむくむ,,,-1,下腿浮腫,R600,CS
膝から下がむくんでいる,,,-1,下腿浮腫,R600,CS
膝から下のむくみ,,,-1,下腿浮腫,R600,CS
両下腿むくみ,,,-1,下腿浮腫,R600,CS
両下腿浮腫,,,-1,下腿浮腫,R600,CS
両足がむくむ,,,-1,下腿浮腫,R600,CS
両足がむくんでいる,,,-1,下腿浮腫,R600,CS
両足のむくみ,,,-1,下腿浮腫,R600,CS
両足の側面がむくむ,,,-1,下腿浮腫,R600,CS
両足の浮腫み,,,-1,下腿浮腫,R600,CS
両足むくみ,,,-1,下腿浮腫,R600,CS
両足浮腫,,,-1,下腿浮腫,R600,CS
両太ももの膨張,,,-1,下腿浮腫,R600,CS
両方のすねに腫れもの,,,-1,下腿浮腫,R600,CS
お腹の下が痛い,,,-1,下腹痛,R103,CS
お腹の下の方が痛い,,,-1,下腹痛,R103,CS
かふくがきりきりする,-1,下腹,-1,下腹痛,R103,AEX
かふくが痛い,-1,下腹,-1,下腹痛,R103,AEX
かふくが痛む,-1,下腹,-1,下腹痛,R103,AEX
かふくの痛み,-1,下腹,-1,下腹痛,R103,AEX
したばらがきりきりする,-1,下腹,-1,下腹痛,R103,AEX
したばらが痛い,-1,下腹,-1,下腹痛,R103,AEX
したばらが痛む,-1,下腹,-1,下腹痛,R103,AEX
したばらの痛み,-1,下腹,-1,下腹痛,R103,AEX
はらいわす,,,-1,下腹痛,R103,CS
下ばらが痛い,,,-1,下腹痛,R103,CS
下腹がきりきりする,-1,下腹,-1,下腹痛,R103,AEX
下腹が痛い,,,-1,下腹痛,R103,CS
下腹が痛い,-1,下腹,-1,下腹痛,R103,AEX
下腹が痛む,-1,下腹,-1,下腹痛,R103,AEX
下腹の痛み,,,-1,下腹痛,R103,CS
下腹の痛み,-1,下腹,-1,下腹痛,R103,AEX
下腹部が痛い,,,-1,下腹痛,R103,CS
下腹部の痛み,,,-1,下腹痛,R103,CS
下腹部疼痛,,,-1,下腹痛,R103,CS
下痢痛,,,-1,下腹痛,R103,CS
腹の下が痛い,,,-1,下腹痛,R103,CS
腹の下の方痛い,,,-1,下腹痛,R103,CS
腹部の下の方の痛み,,,-1,下腹痛,R103,CS
お腹の右下が痛い,,,-1,"下腹痛,腸仙痛",R103,CS
お腹の右下の痛み,,,-1,"下腹痛,腸仙痛",R103,CS
お腹の右下側が痛い,,,-1,"下腹痛,腸仙痛",R103,CS
みぎばらいわす,,,-1,"下腹痛,腸仙痛",R103,CS
わき腹が痛い,,,-1,"下腹痛,腸仙痛",R103,CS
右の下っ腹が痛い,,,-1,"下腹痛,腸仙痛",R103,CS
右の下腹の痛み,,,-1,"下腹痛,腸仙痛",R103,CS
右下のおなかがいたい,,,-1,"下腹痛,腸仙痛",R103,CS
右下の腹が痛い,,,-1,"下腹痛,腸仙痛",R103,CS
右下の腹痛,,,-1,"下腹痛,腸仙痛",R103,CS
右下側の腹痛,,,-1,"下腹痛,腸仙痛",R103,CS
右下腹の痛み,,,-1,"下腹痛,腸仙痛",R103,CS
右下腹痛,,,-1,"下腹痛,腸仙痛",R103,CS
右下腹部痛,,,-1,"下腹痛,腸仙痛",R103,CS
右下腹部疼痛,,,-1,"下腹痛,腸仙痛",R103,CS
右側の下腹部が痛み,,,-1,"下腹痛,腸仙痛",R103,CS
右腹痛,,,-1,"下腹痛,腸仙痛",R103,CS
右脇腹下の方の痛み,,,-1,"下腹痛,腸仙痛",R103,CS
虫垂炎,,,-1,"下腹痛,腸仙痛",R103,CS
腹の右下痛い,,,-1,"下腹痛,腸仙痛",R103,CS
盲腸かな,,,-1,"下腹痛,腸仙痛",R103,CS
お腹の左下が痛い,,,-1,"下腹痛,臍下部痛",R103,CS
お腹の左下側が痛い,,,-1,"下腹痛,臍下部痛",R103,CS
わき腹がいたい,,,-1,"下腹痛,臍下部痛",R103,CS
下っ腹が痛い,,,-1,"下腹痛,臍下部痛",R103,CS
下っ腹痛,,,-1,"下腹痛,臍下部痛",R103,CS
下腹部痛,,,-1,"下腹痛,臍下部痛",R103,CS
原の左下痛い,,,-1,"下腹痛,臍下部痛",R103,CS
左の下腹の痛み,,,-1,"下腹痛,臍下部痛",R103,CS
左の下腹部痛,,,-1,"下腹痛,臍下部痛",R103,CS
左わき腹が痛い,,,-1,"下腹痛,臍下部痛",R103,CS
左下の腹痛,,,-1,"下腹痛,臍下部痛",R103,CS
左下腹の痛み,,,-1,"下腹痛,臍下部痛",R103,CS
左下腹部痛,,,-1,"下腹痛,臍下部痛",R103,CS
左下腹部疼痛,,,-1,"下腹痛,臍下部痛",R103,CS
左側のおなかの痛み,,,-1,"下腹痛,臍下部痛",R103,CS
左腹痛,,,-1,"下腹痛,臍下部痛",R103,CS
左脇腹の痛み,,,-1,"下腹痛,臍下部痛",R103,CS
腹がパンパン,パンパン,腹,-1,下腹部浮腫,R600,Web
お腹が緩い,-1,腹,-1,下痢症,A09,AEX
お腹の調子が緩い,-1,腹,-1,下痢症,A09,AEX
お腹を下す,-1,腹,-1,下痢症,A09,AEX
ゲーリー,-1,-1,-1,下痢症,A09,AEX
げり,-1,-1,-1,下痢症,A09,AEX
ゲリ,-1,-1,-1,下痢症,A09,AEX
シャーシャー,-1,-1,-1,下痢症,A09,AEX
ちゃーちゃー,-1,-1,-1,下痢症,A09,AEX
下痢,-1,-1,-1,下痢症,A09,AEX
下痢症,-1,-1,-1,下痢症,A09,AEX
水みたいな便,-1,-1,-1,下痢症,A09,AEX
水様便,-1,-1,-1,下痢症,A09,AEX
腹がキュルキュルいう,キュルキュル,腹,-1,下痢症,A099,Web
腹がギュルギュルする,ギュルギュル,腹,-1,下痢症,A099,Web
腹がグルグルする,グルグル,腹,-1,下痢症,A099,Web
腹がピーピー,ピーピー,腹,,下痢症,A09,Web
便が何度も出る,-1,-1,-1,下痢症,A09,AEX
便が緩い,-1,-1,-1,下痢症,A09,AEX
かふんしょう,-1,-1,-1,花粉症,J301,AEX
花粉,-1,-1,-1,花粉症,J301,AEX
花粉症,-1,-1,-1,花粉症,J301,AEX
かかんき,-1,-1,-1,過換気症候群,F453,AEX
過換気,-1,-1,-1,過換気症候群,F453,AEX
すっぱいのがこみあげて,-1,-1,-1,過酸症,K318,AEX
すっぱいのがこみ上げて,-1,-1,-1,過酸症,K318,AEX
すっぱいのが逆流,-1,-1,-1,過酸症,K318,AEX
すっぱいのが込みあげて,-1,-1,-1,過酸症,K318,AEX
すっぱいのが出てくる,-1,-1,-1,過酸症,K318,AEX
胃酸がこみあげて,-1,胃,-1,過酸症,K318,AEX
胃酸がこみ上げて,-1,胃,-1,過酸症,K318,AEX
胃酸が逆流,-1,胃,-1,過酸症,K318,AEX
胃酸が込みあげて,-1,胃,-1,過酸症,K318,AEX
胃酸が出てくる,-1,胃,-1,過酸症,K318,AEX
胃酸が多い,-1,胃,-1,過酸症,K318,AEX
胃酸過多,-1,胃,-1,過酸症,K318,AEX
酸っぱいのがこみあげて,-1,-1,-1,過酸症,K318,AEX
酸っぱいのがこみ上げて,-1,-1,-1,過酸症,K318,AEX
酸っぱいのが逆流,-1,-1,-1,過酸症,K318,AEX
酸っぱいのが込みあげて,-1,-1,-1,過酸症,K318,AEX
酸っぱいのが出てくる,-1,-1,-1,過酸症,K318,AEX
いっぱい食べる,-1,-1,-1,過食症,R632,AEX
たくさん食べる,-1,-1,-1,過食症,R632,AEX
食べすぎ,-1,-1,-1,過食症,R632,AEX
食べ過ぎ,-1,-1,-1,過食症,R632,AEX
えし,,,-1,壊死,R02,CS
からだの先端が腐る,,,-1,壊死,R02,CS
くされ,,,-1,壊死,R02,CS
さいぼうがしんでいる,,,-1,壊死,R02,CS
チーズ壊死,,,-1,壊死,R02,CS
ネクローシス,,,-1,壊死,R02,CS
もうすでに死んでいる,,,-1,壊死,R02,CS
壊死,,,-1,壊死,R02,CS
乾燥による壊死,,,-1,壊死,R02,CS
機能不全,,,-1,壊死,R02,CS
凝固壊死,,,-1,壊死,R02,CS
血液の通っていない状態,,,-1,壊死,R02,CS
見た目がチーズに似た細胞の死体,,,-1,壊死,R02,CS
細胞が壊れること,,,-1,壊死,R02,CS
細胞が死ぬ,,,-1,壊死,R02,CS
細胞が死滅,,,-1,壊死,R02,CS
細胞が腐ること,,,-1,壊死,R02,CS
細胞組織が死ぬ,,,-1,壊死,R02,CS
死ぬ,,,-1,壊死,R02,CS
組織が壊れる,,,-1,壊死,R02,CS
組織が死ぬ,,,-1,壊死,R02,CS
組織の局所的死,,,-1,壊死,R02,CS
組織破壊,,,-1,壊死,R02,CS
臓器など体のぶぶんが死ぬ,,,-1,壊死,R02,CS
体が腐り始めた,,,-1,壊死,R02,CS
体の一部が腐ってる事,,,-1,壊死,R02,CS
体の一部分が死んでる,,,-1,壊死,R02,CS
体の細胞組織の一部が死ぬ,,,-1,壊死,R02,CS
皮膚が乾いて細胞が死ぬ,,,-1,壊死,R02,CS
腐った,,,-1,壊死,R02,CS
腐ってる,,,-1,壊死,R02,CS
腐って機能していない,,,-1,壊死,R02,CS
腐って死ぬ,,,-1,壊死,R02,CS
腐って組織が死ぬこと,,,-1,壊死,R02,CS
腐っとる,,,-1,壊死,R02,CS
腐る,,,-1,壊死,R02,CS
腐れる,,,-1,壊死,R02,CS
腐敗,,,-1,壊死,R02,CS
部分壊死,,,-1,壊死,R02,CS
外耳に炎症を起こす,-1,外耳,-1,外耳炎,H609,AEX
外耳炎,-1,外耳,-1,外耳炎,H609,AEX
けが,-1,-1,-1,外傷,T149,AEX
ケガ,-1,-1,-1,外傷,T149,AEX
怪我,-1,-1,-1,外傷,T149,AEX
外傷,-1,-1,-1,外傷,T149,AEX
耳の中の傷,-1,耳の中,-1,外傷性内耳損傷,S099,AEX
がいはんぼし,-1,-1,-1,外反母趾,M201,AEX
外反母趾,-1,-1,-1,外反母趾,M201,AEX
イガイガする,,,-1,咳,R05,CS
エヘン虫,,,-1,咳,R05,CS
えんがい,,,-1,咳,R05,CS
おほおほ,,,-1,咳,R05,CS
くしゅん,,,-1,咳,R05,CS
げほ,,,-1,咳,R05,CS
ごほごほ,,,-1,咳,R05,CS
ゴホゴホと出る,,,-1,咳,R05,CS
コンコン,,,-1,咳,R05,CS
コンコンする,,,-1,咳,R05,CS
コンコン出る,,,-1,咳,R05,CS
しわぶき,,,-1,咳,R05,CS
セキ,,,-1,咳,R05,CS
せきが出る,,,-1,咳,R05,CS
せきこむ,,,-1,咳,R05,CS
せきこんこん,,,-1,咳,R05,CS
せきのこと,,,-1,咳,R05,CS
たん,,,-1,咳,R05,CS
のどがイガイガ,,,-1,咳,R05,CS
ひどい咳,,,-1,咳,R05,CS
むせる,,,-1,咳,R05,CS
咽がゲホゲホする,ゲホゲホ,咽,,咳,R05,Web
咳がとまらない,,,-1,咳,R05,CS
咳き込む,,,-1,咳,R05,CS
咳込む,,,-1,咳,R05,CS
咳込んでえらい,,,-1,咳,R05,CS
咳込んで息苦しい,,,-1,咳,R05,CS
咳出る,,,-1,咳,R05,CS
咳喘息,,,-1,咳,R05,CS
乾いた木を小刻みに割るような細かい喉の違和感,,,-1,咳,R05,CS
喉あれ,,,-1,咳,R05,CS
喉がゲホゲホする,ゲホゲホ,喉,-1,咳,R05,Web
喉がゴホゴホ,ゴホゴホ,喉,,咳,R05,Web
喉がむせる,,,-1,咳,R05,CS
喉の異物が引っ掛かかって咳が出る,,,-1,咳,R05,CS
喉の疾病ででる症状,,,-1,咳,R05,CS
風邪の症状,,,-1,咳,R05,CS
せき,-1,-1,-1,"咳,夜間咳",R05,AEX
咳,-1,-1,-1,"咳,夜間咳",R05,AEX
咳込み,-1,-1,-1,"咳,夜間咳",R05,AEX
咳込む,-1,-1,-1,"咳,夜間咳",R05,AEX
顎がカクカクする,カクカク,顎,-1,顎関節症,K076,Web
顎がガクガクする,ガクガク,顎,,顎関節症,K076,Web
顎がガクッとなる,ガクッ,顎,,顎関節症,K076,Web
顎がグラグラ,グラグラ,顎,,顎関節症,K076,Web
顎がシャリシャリ,シャリシャリ,顎,,顎関節症,K076,Web
顎がミシミシ,ミシミシ,顎,,顎関節症,K076,Web
